label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
threshold_1,threshold,1,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_3,threshold,3,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_5,threshold,5,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_7,threshold,7,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_9,threshold,9,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_11,threshold,11,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_13,threshold,13,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_15,threshold,15,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_17,threshold,17,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_19,threshold,19,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_21,threshold,21,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_23,threshold,23,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_25,threshold,25,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_27,threshold,27,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_29,threshold,29,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_31,threshold,31,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_33,threshold,33,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_35,threshold,35,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_37,threshold,37,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_39,threshold,39,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_41,threshold,41,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_43,threshold,43,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_45,threshold,45,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_47,threshold,47,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_49,threshold,49,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_51,threshold,51,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_53,threshold,53,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
threshold_55,threshold,55,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,4.61,0.31,0.00
